,feature,rem vs. tum
301,ft642_ImageNet,0.591256292191829
302,ft388_ImageNet,0.5909441214344247
303,ft248_ImageNet,0.5907734030514692
304,ft1583_ImageNet,0.590441721621727
305,ft1527_ImageNet,0.5903539235962072
306,ft829_ImageNet,0.5902466148983494
307,ft503_ImageNet,0.590153939204745
308,ft1686_ImageNet,0.5900905295196472
309,ft20_ImageNet,0.5898515237835096
310,ft1729_ImageNet,0.5898320131111718
311,ft1633_ImageNet,0.589700316072892
312,ft749_ImageNet,0.5896954384048074
313,ft874_ImageNet,0.5895930073750341
314,ft897_ImageNet,0.5891881609240255
315,ft1399_ImageNet,0.5888369688219457
316,ft963_ImageNet,0.5887589261325946
317,ft1498_ImageNet,0.5886808834432435
318,ft15_ImageNet,0.5886564951028213
319,ft413_ImageNet,0.5885052873922036
320,ft950_ImageNet,0.5884516330432745
321,ft1837_ImageNet,0.5884418777071058
322,ft519_ImageNet,0.5884321223709369
323,ft1166_ImageNet,0.5884321223709369
324,ft151_ImageNet,0.5884028563624303
325,ft155_ImageNet,0.5882760369922347
326,ft1750_ImageNet,0.5881394622858704
327,ft1161_ImageNet,0.5881199516135326
328,ft620_ImageNet,0.5881199516135326
329,ft1294_ImageNet,0.5876175518008351
330,ft1403_ImageNet,0.5875834081242439
331,ft2047_ImageNet,0.5874419557497952
332,ft1283_ImageNet,0.5874224450774574
333,ft73_ImageNet,0.5873931790689507
334,ft946_ImageNet,0.5873883014008663
335,ft523_ImageNet,0.5872566043625863
336,ft595_ImageNet,0.5872517266945019
337,ft373_ImageNet,0.587163928668982
338,ft1144_ImageNet,0.5868615132477464
339,ft1198_ImageNet,0.5867542045498888
340,ft57_ImageNet,0.5866761618605377
341,ft1936_ImageNet,0.5863444804307956
342,ft761_ImageNet,0.5859396339797869
343,ft1257_ImageNet,0.5859298786436181
344,ft783_ImageNet,0.5858469582861825
345,ft1351_ImageNet,0.5858030592734226
346,ft628_ImageNet,0.5855738088734539
347,ft1651_ImageNet,0.5855689312053693
348,ft1609_ImageNet,0.5855396651968627
349,ft1744_ImageNet,0.5852762711203028
350,ft1622_ImageNet,0.5851299410777695
351,ft410_ImageNet,0.5850567760565029
352,ft299_ImageNet,0.5849689780309829
353,ft932_ImageNet,0.5848226479884497
354,ft282_ImageNet,0.5846811956140008
355,ft1553_ImageNet,0.5845738869161432
356,ft293_ImageNet,0.5845641315799742
357,ft641_ImageNet,0.5845299879033832
358,ft1892_ImageNet,0.5843787801927653
359,ft389_ImageNet,0.5843446365161744
360,ft1970_ImageNet,0.5843348811800055
361,ft1068_ImageNet,0.5843348811800054
362,ft174_ImageNet,0.5840666094353613
363,ft759_ImageNet,0.5838715027119834
364,ft659_ImageNet,0.5837495610098724
365,ft1426_ImageNet,0.5837398056737035
366,ft1589_ImageNet,0.5836861513247747
367,ft1968_ImageNet,0.5834178795801304
368,ft682_ImageNet,0.5834081242439615
369,ft856_ImageNet,0.5833349592226948
370,ft1517_ImageNet,0.5831008311546416
371,ft1344_ImageNet,0.5830374214695437
372,ft349_ImageNet,0.5830325438014594
